"run","variant","fixture","phase","working_set_bytes","private_bytes","scroll_layout_median_ms","scroll_layout_p95_ms"
"1","before","gfm-math-images-100k.md","one_tab","79200256","70135808",,
"1","before","gfm-math-images-100k.md","five_tabs","91443200","72130560","10.0484","10.5789"
"1","before","gfm-math-images-100k.md","closed_tabs","94699520","75698176","10.0484","10.5789"
"1","after","ordinary-5k.md","one_tab","67821568","56676352",,
"1","after","ordinary-5k.md","five_tabs","69505024","58236928","0.6167","0.8009999999999999"
"1","after","ordinary-5k.md","closed_tabs","84340736","63303680","0.6167","0.8009999999999999"
"1","after","gfm-math-images-100k.md","one_tab","79474688","70291456",,
"1","after","gfm-math-images-100k.md","five_tabs","80769024","71163904","9.8529","10.97"
"1","after","gfm-math-images-100k.md","closed_tabs","85323776","75776000","9.8529","10.97"
"1","before","ordinary-5k.md","one_tab","68317184","57155584",,
"1","before","ordinary-5k.md","five_tabs","69795840","58552320","0.6059","0.7958000000000001"
"1","before","ordinary-5k.md","closed_tabs","74678272","63488000","0.6059","0.7958000000000001"
"2","after","ordinary-5k.md","one_tab","68231168","57139200",,
"2","after","ordinary-5k.md","five_tabs","69550080","58396672","0.5887","0.7952"
"2","after","ordinary-5k.md","closed_tabs","74416128","63332352","0.5887","0.7952"
"2","before","ordinary-5k.md","one_tab","67870720","56594432",,
"2","before","ordinary-5k.md","five_tabs","69541888","58187776","0.5486","0.7767"
"2","before","ordinary-5k.md","closed_tabs","74584064","63377408","0.5486","0.7767"
"2","before","gfm-math-images-100k.md","one_tab","79089664","69947392",,
"2","before","gfm-math-images-100k.md","five_tabs","81784832","72273920","9.8439","10.3484"
"2","before","gfm-math-images-100k.md","closed_tabs","85225472","75866112","9.8439","10.3484"
"2","after","gfm-math-images-100k.md","one_tab","79654912","70209536",,
"2","after","gfm-math-images-100k.md","five_tabs","80896000","71278592","9.8332","11.4001"
"2","after","gfm-math-images-100k.md","closed_tabs","85577728","76054528","9.8332","11.4001"
"3","after","gfm-math-images-100k.md","one_tab","79437824","69906432",,
"3","after","gfm-math-images-100k.md","five_tabs","80658432","70963200","9.9985","10.3787"
"3","after","gfm-math-images-100k.md","closed_tabs","84869120","75386880","9.9985","10.3787"
"3","before","gfm-math-images-100k.md","one_tab","78905344","69406720",,
"3","before","gfm-math-images-100k.md","five_tabs","80375808","70725632","9.996500000000001","10.8163"
"3","before","gfm-math-images-100k.md","closed_tabs","84504576","75042816","9.996500000000001","10.8163"
"3","before","ordinary-5k.md","one_tab","67997696","56893440",,
"3","before","ordinary-5k.md","five_tabs","69398528","58241024","0.5873","0.8389"
"3","before","ordinary-5k.md","closed_tabs","74350592","63287296","0.5873","0.8389"
"3","after","ordinary-5k.md","one_tab","68210688","57016320",,
"3","after","ordinary-5k.md","five_tabs","69853184","58552320","0.5778","0.8735999999999999"
"3","after","ordinary-5k.md","closed_tabs","74629120","63361024","0.5778","0.8735999999999999"
