"run","variant","fixture","phase","working_set_bytes","private_bytes","scroll_layout_median_ms","scroll_layout_p95_ms"
"1","before","ordinary-5k.md","one_tab","67604480","56180736",,
"1","before","ordinary-5k.md","five_tabs","69341184","57888768","0.7242999999999999","1.1137"
"1","before","ordinary-5k.md","closed_tabs","74133504","62685184","0.7242999999999999","1.1137"
"1","before","gfm-math-images-100k.md","one_tab","79077376","69545984",,
"1","before","gfm-math-images-100k.md","five_tabs","80441344","70762496","9.8052","11.534"
"1","before","gfm-math-images-100k.md","closed_tabs","84676608","75186176","9.8052","11.534"
"1","after","gfm-math-images-100k.md","one_tab","78610432","68845568",,
"1","after","gfm-math-images-100k.md","five_tabs","80658432","70782976","10.229000000000001","10.898200000000001"
"1","after","gfm-math-images-100k.md","closed_tabs","85106688","75407360","10.229000000000001","10.898200000000001"
"1","after","ordinary-5k.md","one_tab","67764224","56668160",,
"1","after","ordinary-5k.md","five_tabs","69455872","58245120","0.7678","0.9993999999999998"
"1","after","ordinary-5k.md","closed_tabs","74256384","63094784","0.7678","0.9993999999999998"
"2","before","gfm-math-images-100k.md","one_tab","78585856","68894720",,
"2","before","gfm-math-images-100k.md","five_tabs","80637952","70791168","10.5512","11.2081"
"2","before","gfm-math-images-100k.md","closed_tabs","85045248","75571200","10.5512","11.2081"
"2","after","gfm-math-images-100k.md","one_tab","79777792","70107136",,
"2","after","gfm-math-images-100k.md","five_tabs","80764928","71000064","10.372","11.3662"
"2","after","gfm-math-images-100k.md","closed_tabs","84738048","75046912","10.372","11.3662"
"2","after","ordinary-5k.md","one_tab","67686400","56516608",,
"2","after","ordinary-5k.md","five_tabs","69328896","58089472","0.7479","0.8442000000000001"
"2","after","ordinary-5k.md","closed_tabs","74190848","62992384","0.7479","0.8442000000000001"
"2","before","ordinary-5k.md","one_tab","67567616","56406016",,
"2","before","ordinary-5k.md","five_tabs","69320704","58056704","0.7831","1.1923000000000001"
"2","before","ordinary-5k.md","closed_tabs","74076160","62849024","0.7831","1.1923000000000001"
"3","before","ordinary-5k.md","one_tab","67678208","56684544",,
"3","before","ordinary-5k.md","five_tabs","69275648","58159104","0.8495","1.309"
"3","before","ordinary-5k.md","closed_tabs","74203136","63123456","0.8495","1.309"
"3","after","ordinary-5k.md","one_tab","67600384","56479744",,
"3","after","ordinary-5k.md","five_tabs","69423104","58265600","0.7548","1.2026000000000001"
"3","after","ordinary-5k.md","closed_tabs","74227712","62910464","0.7548","1.2026000000000001"
"3","before","gfm-math-images-100k.md","one_tab","78745600","68874240",,
"3","before","gfm-math-images-100k.md","five_tabs","80838656","70930432","10.385","11.4166"
"3","before","gfm-math-images-100k.md","closed_tabs","85176320","75517952","10.385","11.4166"
"3","after","gfm-math-images-100k.md","one_tab","78843904","69124096",,
"3","after","gfm-math-images-100k.md","five_tabs","81899520","72019968","10.7008","11.738"
"3","after","gfm-math-images-100k.md","closed_tabs","85225472","75415552","10.7008","11.738"
