"run","variant","fixture","phase","working_set_bytes","private_bytes","scroll_layout_median_ms","scroll_layout_p95_ms"
"1","after","gfm-math-images-100k.md","one_tab","79331328","69607424",,
"1","after","gfm-math-images-100k.md","five_tabs","80809984","70955008","11.1149","13.1096"
"1","after","gfm-math-images-100k.md","closed_tabs","84971520","74948608","11.1149","13.1096"
"1","after","ordinary-5k.md","one_tab","67911680","56614912",,
"1","after","ordinary-5k.md","five_tabs","69779456","58429440","0.8696","1.1041"
"1","after","ordinary-5k.md","closed_tabs","74444800","63094784","0.8696","1.1041"
"1","before","ordinary-5k.md","one_tab","67731456","56307712",,
"1","before","ordinary-5k.md","five_tabs","69464064","58052608","0.7715000000000001","1.0854000000000001"
"1","before","ordinary-5k.md","closed_tabs","74133504","62771200","0.7715000000000001","1.0854000000000001"
"1","before","gfm-math-images-100k.md","one_tab","78766080","69156864",,
"1","before","gfm-math-images-100k.md","five_tabs","81051648","71315456","10.571900000000001","11.559"
"1","before","gfm-math-images-100k.md","closed_tabs","84361216","74727424","10.571900000000001","11.559"
"2","before","gfm-math-images-100k.md","one_tab","79364096","69816320",,
"2","before","gfm-math-images-100k.md","five_tabs","81567744","71872512","10.665","11.590100000000001"
"2","before","gfm-math-images-100k.md","closed_tabs","84901888","75362304","10.665","11.590100000000001"
"2","after","gfm-math-images-100k.md","one_tab","78680064","68800512",,
"2","after","gfm-math-images-100k.md","five_tabs","80814080","70823936","10.840499999999999","12.1369"
"2","after","gfm-math-images-100k.md","closed_tabs","85831680","76021760","10.840499999999999","12.1369"
"2","before","ordinary-5k.md","one_tab","67825664","56868864",,
"2","before","ordinary-5k.md","five_tabs","69591040","58470400","0.7295","0.8946"
"2","before","ordinary-5k.md","closed_tabs","74567680","63467520","0.7295","0.8946"
"2","after","ordinary-5k.md","one_tab","67616768","56532992",,
"2","after","ordinary-5k.md","five_tabs","69378048","58204160","0.7522","0.9176"
"2","after","ordinary-5k.md","closed_tabs","74285056","63078400","0.7522","0.9176"
"3","after","gfm-math-images-100k.md","one_tab","79433728","69812224",,
"3","after","gfm-math-images-100k.md","five_tabs","80711680","71016448","10.794599999999999","12.3591"
"3","after","gfm-math-images-100k.md","closed_tabs","85053440","75526144","10.794599999999999","12.3591"
"3","before","ordinary-5k.md","one_tab","67858432","56528896",,
"3","before","ordinary-5k.md","five_tabs","69267456","57892864","0.7117","0.8602"
"3","before","ordinary-5k.md","closed_tabs","74366976","63115264","0.7117","0.8602"
"3","after","ordinary-5k.md","one_tab","67514368","56553472",,
"3","after","ordinary-5k.md","five_tabs","69349376","58261504","0.7463","0.8619"
"3","after","ordinary-5k.md","closed_tabs","74166272","62894080","0.7463","0.8619"
"3","before","gfm-math-images-100k.md","one_tab","78241792","68780032",,
"3","before","gfm-math-images-100k.md","five_tabs","81043456","71475200","10.6271","11.4924"
"3","before","gfm-math-images-100k.md","closed_tabs","84832256","75358208","10.6271","11.4924"
