"run","variant","fixture","phase","working_set_bytes","private_bytes","scroll_layout_median_ms","scroll_layout_p95_ms"
"1","candidate","gfm-math-images-100k.md","one_tab","78958592","69353472",,
"1","candidate","gfm-math-images-100k.md","five_tabs","90300416","70803456","8.5795","10.4699"
"1","candidate","gfm-math-images-100k.md","closed_tabs","95375360","75878400","8.5795","10.4699"
"1","candidate","ordinary-5k.md","one_tab","67637248","56377344",,
"1","candidate","ordinary-5k.md","five_tabs","69181440","57868288","0.8471000000000001","1.1042"
"1","candidate","ordinary-5k.md","closed_tabs","74080256","63000576","0.8471000000000001","1.1042"
"1","stable","ordinary-5k.md","one_tab","67624960","56463360",,
"1","stable","ordinary-5k.md","five_tabs","69476352","58220544","0.7552","1.0402"
"1","stable","ordinary-5k.md","closed_tabs","84099072","63217664","0.7552","1.0402"
"1","candidate","stress-2m.md","one_tab","260730880","264462336",,
"1","candidate","stress-2m.md","five_tabs","272728064","276393984","224.3681","226.5492"
"1","candidate","stress-2m.md","closed_tabs","265449472","269393920","224.3681","226.5492"
"1","stable","stress-2m.md","one_tab","261074944","264912896",,
"1","stable","stress-2m.md","five_tabs","272130048","275935232","224.07160000000002","225.51850000000002"
"1","stable","stress-2m.md","closed_tabs","264617984","268193792","224.07160000000002","225.51850000000002"
"1","stable","gfm-math-images-100k.md","one_tab","78524416","68902912",,
"1","stable","gfm-math-images-100k.md","five_tabs","80711680","71086080","9.9353","11.302200000000001"
"1","stable","gfm-math-images-100k.md","closed_tabs","84905984","75177984","9.9353","11.302200000000001"
"1","stable","images.md","one_tab","41234432","32387072",,
"1","stable","images.md","five_tabs","41566208","32493568","0.21919999999999998","0.3196"
"1","stable","images.md","closed_tabs","41758720","32612352","0.21919999999999998","0.3196"
"1","candidate","images.md","one_tab","17395712","8507392",,
"1","candidate","images.md","five_tabs","15708160","6529024","0.3115","0.5555"
"1","candidate","images.md","closed_tabs","15974400","6688768","0.3115","0.5555"
"2","candidate","ordinary-5k.md","one_tab","67526656","56434688",,
"2","candidate","ordinary-5k.md","five_tabs","69509120","58318848","0.7875","1.2846000000000002"
"2","candidate","ordinary-5k.md","closed_tabs","74579968","63283200","0.7875","1.2846000000000002"
"2","stable","ordinary-5k.md","one_tab","67444736","56684544",,
"2","stable","ordinary-5k.md","five_tabs","69128192","58245120","0.9417","1.1973"
"2","stable","ordinary-5k.md","closed_tabs","74149888","63082496","0.9417","1.1973"
"2","candidate","stress-2m.md","one_tab","261120000","265060352",,
"2","candidate","stress-2m.md","five_tabs","272760832","276582400","226.0399","227.14239999999998"
"2","candidate","stress-2m.md","closed_tabs","265019392","268533760","226.0399","227.14239999999998"
"2","stable","images.md","one_tab","40853504","31952896",,
"2","stable","images.md","five_tabs","41164800","32022528","0.28640000000000004","0.3375"
"2","stable","images.md","closed_tabs","41373696","32157696","0.28640000000000004","0.3375"
"2","candidate","images.md","one_tab","17317888","8462336",,
"2","candidate","images.md","five_tabs","15671296","6475776","0.2904","0.3737"
