"run","variant","fixture","visible_window_proxy_ms","idle_sample_ms","idle_cpu_ms","working_set_bytes","private_bytes","peak_working_set_bytes","executable_bytes"
"1","candidate","images.md","327.7948","1000.1321","1140.625","164683776","264790016","164683776","16771072"
"1","candidate","stress-2m.md","113.0438","1008.2573","1015.625","338808832","392867840","349638656","16771072"
"1","stable","ordinary-5k.md","300.8909","1011.4174","1046.875","206389248","220258304","206389248","16728064"
"1","stable","stress-2m.md","113.5438","1012.7455","1015.625","339390464","396705792","349790208","16728064"
"1","candidate","ordinary-5k.md","120.9707","1007.2415","1171.875","137023488","165134336","137023488","16771072"
"1","stable","images.md","118.3827","1001.9395","812.5","149815296","265670656","149815296","16728064"
"1","candidate","gfm-math-images-100k.md","154.3986","1000.8427","1015.625","149237760","180355072","149241856","16771072"
"1","stable","gfm-math-images-100k.md","114.1349","1006.3012","1000","148619264","180191232","148631552","16728064"
"2","candidate","stress-2m.md","117.3656","1009.1231","1015.625","338853888","392380416","349769728","16771072"
"2","candidate","gfm-math-images-100k.md","115.1903","1006.9939","1015.625","148955136","180424704","148955136","16771072"
"2","candidate","ordinary-5k.md","116.5774","1002.5425","1187.5","136486912","165961728","136486912","16771072"
"2","candidate","images.md","136.5213","1002.9878","1156.25","92610560","213995520","100909056","16771072"
"2","stable","gfm-math-images-100k.md","113.5701","1013.2366","1015.625","148590592","178823168","148611072","16728064"
"2","stable","images.md","115.0046","1002.1608","1187.5","149778432","264118272","149778432","16728064"
"2","stable","ordinary-5k.md","115.2275","1007.9435","1125","136966144","166686720","136966144","16728064"
"2","stable","stress-2m.md","125.098","1010.0786","1015.625","339390464","396349440","350003200","16728064"
"3","candidate","gfm-math-images-100k.md","115.8542","1012.1589","1046.875","148873216","180662272","148877312","16771072"
"3","stable","ordinary-5k.md","112.3135","1012.3141","1109.375","136712192","165797888","136712192","16728064"
"3","stable","gfm-math-images-100k.md","120.6061","1008.7522","1015.625","148987904","179417088","149254144","16728064"
"3","candidate","ordinary-5k.md","117.2243","1013.732","1078.125","136904704","165552128","136904704","16771072"
"3","stable","stress-2m.md","118.3209","1009.3628","1000","339214336","393261056","349818880","16728064"
"3","candidate","images.md","117.0984","1012.6005","1078.125","92745728","206958592","100536320","16771072"
"3","stable","images.md","115.8513","1011.5677","1015.625","153800704","274440192","153800704","16728064"
"3","candidate","stress-2m.md","112.7223","1008.2689","1031.25","339611648","396447744","350363648","16771072"
"4","stable","ordinary-5k.md","119.6459","1009.5761","1187.5","136982528","165527552","136982528","16728064"
"4","candidate","ordinary-5k.md","132.3293","1007.234","1062.5","136777728","166436864","136777728","16771072"
"4","stable","images.md","118.339","1003.9516","1203.125","153808896","271568896","153808896","16728064"
"4","candidate","images.md","116.7123","1003.4123","1218.75","92557312","207769600","100462592","16771072"
"4","stable","stress-2m.md","117.6821","1001.2138","1000","339718144","397135872","350191616","16728064"
"4","stable","gfm-math-images-100k.md","120.215","1009.6002","1031.25","148344832","179499008","148406272","16728064"
"4","candidate","gfm-math-images-100k.md","116.1808","1000.6094","1015.625","148770816","179507200","148910080","16771072"
"4","candidate","stress-2m.md","114.1781","1009.6996","1015.625","339279872","396374016","349745152","16771072"
"5","stable","images.md","114.8706","1012.4582","1078.125","153907200","274497536","153907200","16728064"
"5","stable","ordinary-5k.md","111.4002","1003.3356","1046.875","137211904","166465536","137211904","16728064"
"5","stable","stress-2m.md","117.6235","1001.4876","1000","339410944","396439552","349143040","16728064"
"5","candidate","ordinary-5k.md","117.5611","1002.6502","953.125","136818688","166076416","136818688","16771072"
"5","stable","gfm-math-images-100k.md","116.6833","1015.3031","1000","149463040","180150272","149663744","16728064"
"5","candidate","stress-2m.md","114.1501","1009.5153","1031.25","339095552","396300288","350035968","16771072"
"5","candidate","gfm-math-images-100k.md","114.0279","1001.0063","1046.875","149213184","179421184","149254144","16771072"
"5","candidate","images.md","110.5782","1000.2995","1109.375","92549120","210890752","102109184","16771072"
