"run","variant","fixture","phase","working_set_bytes","private_bytes","scroll_layout_median_ms","scroll_layout_p95_ms"
"1","after","ordinary-5k.md","one_tab","69013504","57389056",,
"1","after","ordinary-5k.md","five_tabs","70717440","58900480","0.8186","0.9996"
"1","after","ordinary-5k.md","closed_tabs","85278720","63533056","0.8186","0.9996"
"1","before","gfm-math-images-100k.md","one_tab","79941632","69660672",,
"1","before","gfm-math-images-100k.md","five_tabs","90968064","70791168","10.0918","11.104299999999999"
"1","before","gfm-math-images-100k.md","closed_tabs","95002624","74981376","10.0918","11.104299999999999"
"1","before","ordinary-5k.md","one_tab","68599808","56565760",,
"1","before","ordinary-5k.md","five_tabs","70369280","58241024","0.8574999999999999","1.1540000000000001"
"1","before","ordinary-5k.md","closed_tabs","75182080","62980096","0.8574999999999999","1.1540000000000001"
"1","after","gfm-math-images-100k.md","one_tab","80244736","70152192",,
"1","after","gfm-math-images-100k.md","five_tabs","82526208","72142848","9.8533","11.026299999999999"
"1","after","gfm-math-images-100k.md","closed_tabs","85921792","76029952","9.8533","11.026299999999999"
"2","before","gfm-math-images-100k.md","one_tab","80818176","70836224",,
"2","before","gfm-math-images-100k.md","five_tabs","81739776","71417856","10.078999999999999","11.1966"
"2","before","gfm-math-images-100k.md","closed_tabs","85630976","75198464","10.078999999999999","11.1966"
"2","before","ordinary-5k.md","one_tab","68313088","56360960",,
"2","before","ordinary-5k.md","five_tabs","70135808","58032128","0.8872","1.1136"
"2","before","ordinary-5k.md","closed_tabs","75313152","63324160","0.8872","1.1136"
"2","after","gfm-math-images-100k.md","one_tab","80322560","70234112",,
"2","after","gfm-math-images-100k.md","five_tabs","82456576","72093696","10.1894","10.8842"
"2","after","gfm-math-images-100k.md","closed_tabs","85901312","75866112","10.1894","10.8842"
"2","after","ordinary-5k.md","one_tab","68710400","57081856",,
"2","after","ordinary-5k.md","five_tabs","70287360","58564608","0.7744","1.1514"
"2","after","ordinary-5k.md","closed_tabs","75321344","63754240","0.7744","1.1514"
"3","before","gfm-math-images-100k.md","one_tab","79781888","69623808",,
"3","before","gfm-math-images-100k.md","five_tabs","81195008","70856704","10.2426","11.087299999999999"
"3","before","gfm-math-images-100k.md","closed_tabs","85528576","75169792","10.2426","11.087299999999999"
"3","after","gfm-math-images-100k.md","one_tab","79634432","69857280",,
"3","after","gfm-math-images-100k.md","five_tabs","82087936","71958528","10.548","11.4466"
"3","after","gfm-math-images-100k.md","closed_tabs","85254144","75313152","10.548","11.4466"
"3","after","ordinary-5k.md","one_tab","68739072","57069568",,
"3","after","ordinary-5k.md","five_tabs","70471680","58593280","0.9294","1.0797999999999999"
"3","after","ordinary-5k.md","closed_tabs","75440128","63750144","0.9294","1.0797999999999999"
"3","before","ordinary-5k.md","one_tab","68640768","56569856",,
"3","before","ordinary-5k.md","five_tabs","70189056","57970688","0.7636000000000001","0.9771000000000001"
"3","before","ordinary-5k.md","closed_tabs","75272192","63201280","0.7636000000000001","0.9771000000000001"
