app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
md-preview,gfm-math-images-100k.md,5,window-observed,162.681,540.516,364.555,7,92.722,1.0111,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,ordinary-5k.md,1,window-observed,419.008,1946.078,1643.91,11,1387.496,1.0135,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
vscode-preview,ordinary-5k.md,2,window-observed,396.394,1946.434,1632.555,11,432.554,1.0114,c933b1301979abb102ded0b5c28c5c417fcb09411b15f5ff2484c8bb896cf9ef,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
moji,ordinary-5k.md,5,window-observed,2378.307,427.367,324.91,4,0.0,1.0102,38af3fbe00fe2a1f9c39dd0e681a3195e4ba26f32b1cb250385393bead04bcb5,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marklite,gfm-math-images-100k.md,2,window-observed,1217.428,151.07,245.535,1,15.442,1.0119,98a5cda2c1c4b884c8c94c5b8a5a1d1749df1cecb58c2bcf1e211e73cbde4fa5,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,gfm-math-images-100k.md,4,window-observed,40.069,560.863,386.516,7,154.56,1.0109,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,gfm-math-images-100k.md,5,window-observed,781.224,640.113,460.281,5,0.0,1.011,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,ordinary-5k.md,3,window-observed,366.451,134.934,176.207,1,15.45,1.0114,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
fmv-0.2.1,gfm-math-images-100k.md,1,window-observed,290.473,148.0,166.004,1,0.0,1.013,f10ddcf8f482b3c50ae1df905a04c24441ceb1fb02370742f8ca38a459529d66,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,gfm-math-images-100k.md,1,window-observed,868.065,811.266,814.078,4,0.0,1.0119,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,gfm-math-images-100k.md,2,window-observed,522.508,800.129,793.016,4,0.0,1.0109,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
