app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
typora,gfm-math-images-100k.md,2,window-observed,298.183,883.316,366.609,6,0.0,1.0103,3d3804b5be42dedab376be01ac2dd19d60995d04d7b0f2938daac8d9f561a8ff,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marky,stress-2m.md,1,window-observed,72.72,1502.23,1208.465,3,1343.474,1.0123,d9e29b70534adf2c2b6004de8c98cf81521ae158944a708b4fcdd21d7c99e452,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
fmv,stress-2m.md,3,window-observed,446.507,427.312,366.355,1,1033.951,1.0059,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
marky,ordinary-5k.md,2,window-observed,74.309,703.82,410.105,3,803.002,1.0087,d9e29b70534adf2c2b6004de8c98cf81521ae158944a708b4fcdd21d7c99e452,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
mdview-zig,stress-2m.md,2,exited--11,,0.0,0.0,0,0.0,1.0021,7b3326a555c0d319e217b217932eef9369d9021322f68a4e7e0309d7a515655e,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
marky,gfm-math-images-100k.md,4,window-observed,83.086,785.219,491.324,3,882.257,1.0088,d9e29b70534adf2c2b6004de8c98cf81521ae158944a708b4fcdd21d7c99e452,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv,gfm-math-images-100k.md,1,window-observed,124.395,192.922,131.887,1,1474.396,1.0038,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv,stress-2m.md,4,window-observed,349.018,408.121,347.141,1,1023.493,1.0064,60dc3377d0280fb2e48f54660d7cfebc5ee5f1334d2e23be9a844bde60045d7a,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
aydiler,stress-2m.md,3,window-observed,1143.236,1070.457,1007.738,1,0.0,1.0046,cb1f70db3b2150b91e7d49bb140c794a04ce0ab8e04d88d69727dbddcbac9a39,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
markmello,gfm-math-images-100k.md,4,window-observed,296.787,361.316,296.363,1,0.0,1.0052,dbd3760216650d16334de575263ba71d9234a9333ba7d673dbadbac260353705,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
