app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
vscode-preview,gfm-math-images-100k.md,2,window-observed,302.546,2332.211,1988.176,12,1997.735,1.009,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,stress-2m.md,5,window-observed,302.853,3803.504,3485.219,12,3399.809,1.0111,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
vscode-preview,ordinary-5k.md,3,window-observed,307.271,1914.109,1582.098,12,1393.048,1.0095,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,stress-2m.md,3,window-observed,275.08,565.199,417.055,5,0.0,1.0087,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
typora,ordinary-5k.md,2,window-observed,275.793,600.391,465.273,5,15.498,1.0082,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
vscode-preview,stress-2m.md,1,window-observed,287.762,3902.707,3533.516,12,3404.526,1.0097,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
typora,gfm-math-images-100k.md,1,window-observed,813.932,740.062,601.832,5,0.0,1.0083,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,stress-2m.md,4,renderer-exited,380.26,249.551,204.543,3,0.0,1.008,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
vscode-preview,gfm-math-images-100k.md,5,window-observed,293.489,2311.883,1991.031,12,1842.951,1.0089,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
obsidian,ordinary-5k.md,3,window-observed,423.738,469.484,441.488,4,0.0,1.0083,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
obsidian,ordinary-5k.md,2,window-observed,389.649,465.598,435.18,4,15.498,1.0082,a00f15ad21a289d4db67df1196d5d99ec5cf31a6972f7777fb9b41e20d86088e,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,gfm-math-images-100k.md,3,window-observed,281.265,727.68,592.449,5,15.5,1.008,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
typora,ordinary-5k.md,5,window-observed,287.33,592.031,455.801,5,0.0,1.0086,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
vscode-preview,ordinary-5k.md,2,window-observed,304.732,1929.281,1589.031,12,1424.456,1.0092,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
typora,gfm-math-images-100k.md,2,window-observed,316.513,742.789,606.66,5,0.0,1.0081,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
vscode-preview,stress-2m.md,3,window-observed,303.382,3879.723,3573.855,12,3490.057,1.0118,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
vscode-preview,ordinary-5k.md,5,window-observed,290.434,1901.48,1573.941,12,1626.047,1.009,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
vscode-preview,stress-2m.md,4,window-observed,305.486,3750.246,3386.523,12,3184.568,1.0107,cfa80a9347a8e6db4ee481bab3e3ecd01f3eae0363b7072e7cc2bbbe88edf1ae,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
typora,stress-2m.md,4,window-observed,275.439,589.992,444.199,5,0.0,1.0078,3a1807daf4f0f9e8d1257fac5f61429e9535debf230ffece8b7d931749108a57,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
