app,fixture,run,status,window_proxy_ms,checkpoint_rss_mib,checkpoint_private_mib,checkpoint_processes,cpu_ms_per_second,sample_duration_s,exe_sha256,fixture_sha256
aydiler,gfm-math-images-100k.md,5,window-observed,24.818,259.305,352.695,1,0.0,1.0091,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,stress-2m.md,1,window-observed,276.239,777.852,777.062,1,1020.316,1.0107,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
markmello,stress-2m.md,2,window-observed,265.909,761.828,756.418,1,1080.747,1.012,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
marktext,stress-2m.md,5,window-observed,514.621,496.418,327.828,5,989.588,1.0105,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
aydiler,gfm-math-images-100k.md,4,window-observed,21.887,256.891,349.277,1,0.0,1.0079,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv,stress-2m.md,3,window-observed,305.475,642.168,701.887,1,1005.085,1.0105,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
marktext,gfm-math-images-100k.md,1,window-observed,532.642,637.418,464.914,5,0.0,1.0087,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,gfm-math-images-100k.md,1,window-observed,22.325,621.555,446.613,7,185.708,1.0096,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
md-preview,gfm-math-images-100k.md,2,window-observed,20.313,623.789,451.926,7,139.348,1.0092,d24eb9ea9b38f1e57f40d76eec919ae319494a4764ef1e64975e50f5a4b1b10f,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,stress-2m.md,4,window-observed,533.61,500.031,331.227,5,1003.943,1.0116,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
aydiler,gfm-math-images-100k.md,1,window-observed,20.859,257.695,348.438,1,0.0,1.0085,c5fe8c07f3cd1678bd24c1b5ab55f5374932c0cba81deff5021b23270f30e44a,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,ordinary-5k.md,3,window-observed,22.758,45.777,60.48,1,0.0,1.0095,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
marktext,stress-2m.md,1,window-observed,500.704,496.699,328.961,5,1004.461,1.0111,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
fmv,gfm-math-images-100k.md,5,window-observed,24.523,167.16,195.523,1,1002.366,1.0132,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,stress-2m.md,5,window-observed,261.74,812.527,806.371,1,1018.975,1.012,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,009f32e8adcad5a962d96c6f864fb0412255cf4ed4b2b0c6aa0f684395daa23e
markmello,gfm-math-images-100k.md,1,window-observed,253.768,288.266,346.375,1,0.0,1.0098,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
mdview-zig,gfm-math-images-100k.md,3,window-observed,22.357,46.93,61.234,1,0.0,1.0096,29f2b042e99deccc584ce0f44fe553320bae7682727dc2c9de9977ae59bc77be,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
markmello,gfm-math-images-100k.md,3,window-observed,239.453,286.57,345.617,1,0.0,1.0079,01cd62372517971d003c37cd1191d9290107e8944de6a8a586157923937880fd,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
marktext,gfm-math-images-100k.md,5,window-observed,461.069,636.117,463.512,5,0.0,1.0083,f783de63f5bf170e7a2ab58b3755425ddf339a6628923664957121fc779ecdfa,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594
fmv,ordinary-5k.md,1,window-observed,20.591,135.0,162.227,1,1051.963,1.01,75cdacca57fb606dae1b34e956475aea00cbf414d045cf68587ef3bd216fc373,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d
