renderer,fixture,status,exit_code,sampled_peak_bytes,output,error,run
mmdr-text,chain-200.mmd,ok,0,30887936,render_ms=139.113 font_ms=1.063 raster_ms=20.371 pipeline_ms=160.712 svg_bytes=170521 width=119 height=15075,,1
mmdr-text,chain-2000.mmd,error,2,43876352,,ERROR: Diagram exceeds prototype's 16 megapixel limit,1
mmdr-text,class.mmd,ok,0,11661312,render_ms=13.259 font_ms=0.585 raster_ms=1.085 pipeline_ms=15.041 svg_bytes=3416 width=181 height=278,,1
mmdr-text,er.mmd,ok,0,7815168,render_ms=14.218 font_ms=0.617 raster_ms=1.368 pipeline_ms=16.312 svg_bytes=4378 width=201 height=255,,1
mmdr-text,flowchart.mmd,ok,0,12845056,render_ms=26.040 font_ms=0.641 raster_ms=1.239 pipeline_ms=28.104 svg_bytes=4461 width=474 height=147,,1
mmdr-text,gantt.mmd,ok,0,5992448,render_ms=13.642 font_ms=0.849 raster_ms=1.893 pipeline_ms=16.476 svg_bytes=4745 width=641 height=154,,1
mmdr-text,gitgraph.mmd,ok,0,4952064,render_ms=14.041 font_ms=0.591 raster_ms=1.241 pipeline_ms=15.976 svg_bytes=3507 width=225 height=163,,1
mmdr-text,invalid-trailing.mmd,ok,0,5791744,render_ms=16.558 font_ms=0.599 raster_ms=0.817 pipeline_ms=18.072 svg_bytes=2529 width=396 height=79,,1
mmdr-text,invalid.mmd,error,2,4825088,,ERROR: unexpected token 'notADiagram' at 1:1; expected unknown or missing Mermaid diagram header,1
mmdr-text,labels.mmd,ok,0,6012928,render_ms=16.033 font_ms=0.589 raster_ms=1.331 pipeline_ms=18.042 svg_bytes=2154 width=488 height=117,,1
mmdr-text,malformed-flowchart.mmd,error,2,4050944,,ERROR: unexpected token '-->' at 3:5; expected node identifier,1
mmdr-text,mindmap.mmd,ok,0,10530816,render_ms=14.443 font_ms=0.612 raster_ms=1.650 pipeline_ms=16.804 svg_bytes=7717 width=808 height=180,,1
mmdr-text,oversize.mmd,error,2,2686976,,ERROR: Diagram exceeds prototype's 64 KiB input limit,1
mmdr-text,pie.mmd,ok,0,12001280,render_ms=14.230 font_ms=0.625 raster_ms=2.161 pipeline_ms=17.145 svg_bytes=2710 width=456 height=360,,1
mmdr-text,sequence-realistic.mmd,ok,0,7127040,render_ms=13.748 font_ms=0.610 raster_ms=3.963 pipeline_ms=18.424 svg_bytes=10986 width=659 height=653,,1
mmdr-text,sequence.mmd,ok,0,4902912,render_ms=13.750 font_ms=0.569 raster_ms=1.430 pipeline_ms=15.875 svg_bytes=4700 width=450 height=265,,1
mmdr-text,state.mmd,ok,0,4952064,render_ms=13.730 font_ms=0.570 raster_ms=1.103 pipeline_ms=15.533 svg_bytes=3861 width=145 height=183,,1
mmdr-text,styled.mmd,ok,0,12099584,render_ms=15.028 font_ms=0.594 raster_ms=0.782 pipeline_ms=16.492 svg_bytes=1979 width=328 height=75,,1
mmdr-text,unicode.mmd,ok,0,55083008,render_ms=15.315 font_ms=8.297 raster_ms=1.388 pipeline_ms=25.403 svg_bytes=3731 width=885 height=75,,1
mmdr-text,workflow.mmd,ok,0,18198528,render_ms=238.281 font_ms=0.846 raster_ms=4.380 pipeline_ms=243.602 svg_bytes=15479 width=958 height=1365,,1
rusty-text,chain-200.mmd,ok,0,26013696,render_ms=8.885 font_ms=0.756 raster_ms=16.449 pipeline_ms=26.183 svg_bytes=116548 width=106 height=16633,,1
rusty-text,chain-2000.mmd,aborted,-1073741571,14553088,,thread 'main' (31048) has overflowed its stack,1
rusty-text,class.mmd,ok,0,2682880,render_ms=0.263 font_ms=0.666 raster_ms=0.914 pipeline_ms=1.944 svg_bytes=2191 width=184 height=213,,1
rusty-text,er.mmd,ok,0,2682880,render_ms=0.259 font_ms=0.592 raster_ms=1.046 pipeline_ms=2.008 svg_bytes=2735 width=160 height=225,,1
rusty-text,flowchart.mmd,ok,0,3764224,render_ms=0.719 font_ms=0.624 raster_ms=1.031 pipeline_ms=2.956 svg_bytes=2835 width=492 height=156,,1
rusty-text,gantt.mmd,ok,0,10125312,render_ms=0.137 font_ms=0.575 raster_ms=1.484 pipeline_ms=2.284 svg_bytes=4206 width=840 height=226,,1
rusty-text,gitgraph.mmd,ok,0,8749056,render_ms=0.170 font_ms=0.716 raster_ms=0.672 pipeline_ms=1.777 svg_bytes=1472 width=357 height=200,,1
rusty-text,invalid-trailing.mmd,error,2,4108288,,"ERROR: unexpected token at byte 64: ""???""",1
rusty-text,invalid.mmd,error,2,3915776,,"ERROR: unexpected token at byte 0: ""notADiagram
    {{{ unexpected input""",1
rusty-text,labels.mmd,ok,0,2793472,render_ms=0.599 font_ms=0.641 raster_ms=1.201 pipeline_ms=2.898 svg_bytes=1441 width=756 height=90,,1
rusty-text,malformed-flowchart.mmd,ok,0,2682880,render_ms=0.203 font_ms=0.603 raster_ms=0.381 pipeline_ms=1.283 svg_bytes=487 width=81 height=73,,1
rusty-text,mindmap.mmd,ok,0,10629120,render_ms=0.327 font_ms=0.602 raster_ms=1.543 pipeline_ms=2.580 svg_bytes=3616 width=472 height=542,,1
rusty-text,oversize.mmd,error,2,3899392,,ERROR: Diagram exceeds prototype's 64 KiB input limit,1
rusty-text,pie.mmd,ok,0,7090176,render_ms=0.096 font_ms=0.577 raster_ms=1.104 pipeline_ms=1.866 svg_bytes=1805 width=620 height=420,,1
rusty-text,sequence-realistic.mmd,ok,0,12795904,render_ms=0.171 font_ms=0.589 raster_ms=3.252 pipeline_ms=4.104 svg_bytes=7166 width=775 height=574,,1
rusty-text,sequence.mmd,ok,0,9101312,render_ms=0.126 font_ms=0.566 raster_ms=1.072 pipeline_ms=1.867 svg_bytes=2873 width=353 height=254,,1
rusty-text,state.mmd,ok,0,9043968,render_ms=0.319 font_ms=0.574 raster_ms=0.972 pipeline_ms=1.954 svg_bytes=2589 width=154 height=238,,1
rusty-text,styled.mmd,ok,0,3637248,render_ms=0.289 font_ms=0.699 raster_ms=0.715 pipeline_ms=1.791 svg_bytes=1292 width=300 height=73,,1
rusty-text,unicode.mmd,ok,0,51761152,render_ms=0.320 font_ms=8.275 raster_ms=1.323 pipeline_ms=10.026 svg_bytes=2518 width=794 height=73,,1
rusty-text,workflow.mmd,ok,0,20340736,render_ms=1.188 font_ms=0.663 raster_ms=5.224 pipeline_ms=7.179 svg_bytes=10359 width=956 height=1335,,1
