"renderer","fixture","status","exit_code","sampled_peak_bytes","output","error"
"rusty-fixed","chain-100.mmd","ok","0","13774848","render_ms=3.544 font_ms=0.679 raster_ms=8.170 pipeline_ms=12.499 svg_bytes=58171 width=106 height=8353",""
"rusty-fixed","chain-25.mmd","ok","0","2682880","render_ms=0.937 font_ms=0.656 raster_ms=2.103 pipeline_ms=3.839 svg_bytes=14938 width=98 height=2143",""
"rusty-fixed","chain-250.mmd","ok","0","30154752","render_ms=12.551 font_ms=0.798 raster_ms=20.258 pipeline_ms=33.719 svg_bytes=145848 width=106 height=20773",""
"rusty-fixed","chain-50.mmd","ok","0","12644352","render_ms=1.886 font_ms=0.667 raster_ms=4.068 pipeline_ms=6.738 svg_bytes=29288 width=98 height=4213",""
"rusty-fixed","chain-500.mmd","ok","0","57204736","render_ms=35.847 font_ms=1.089 raster_ms=44.479 pipeline_ms=81.530 svg_bytes=292348 width=106 height=41473",""
"rusty-fixed","cycle.mmd","ok","0","3801088","render_ms=0.329 font_ms=0.585 raster_ms=0.778 pipeline_ms=1.807 svg_bytes=2134 width=162 height=238",""
"rusty-fixed","fan-100.mmd","ok","0","28364800","render_ms=3.020 font_ms=0.692 raster_ms=27.369 pipeline_ms=31.194 svg_bytes=59375 width=223 height=8270",""
"rusty-fixed","fan-25.mmd","ok","0","2686976","render_ms=0.855 font_ms=0.621 raster_ms=3.836 pipeline_ms=5.422 svg_bytes=15201 width=214 height=2060",""
"rusty-fixed","fan-250.mmd","ok","0","55640064","render_ms=6.677 font_ms=0.765 raster_ms=136.740 pipeline_ms=144.306 svg_bytes=148790 width=223 height=20690",""
"rusty-fixed","fan-50.mmd","ok","0","18812928","render_ms=1.480 font_ms=0.746 raster_ms=9.298 pipeline_ms=11.635 svg_bytes=29877 width=214 height=4130",""
"rusty-fixed","fan-500.mmd","ok","0","95420416","render_ms=14.113 font_ms=0.932 raster_ms=497.692 pipeline_ms=512.845 svg_bytes=298488 width=223 height=41390",""
"rusty-fixed","nested.mmd","ok","0","3731456","render_ms=0.669 font_ms=0.633 raster_ms=1.160 pipeline_ms=2.585 svg_bytes=3243 width=225 height=421",""
"rusty-fixed","readme.mmd","ok","0","9990144","render_ms=0.405 font_ms=0.599 raster_ms=1.345 pipeline_ms=2.459 svg_bytes=4118 width=712 height=165",""
"rusty-fixed","sequence.mmd","ok","0","9736192","render_ms=0.156 font_ms=0.597 raster_ms=1.415 pipeline_ms=2.275 svg_bytes=4002 width=431 height=330",""
"rusty-fixed","unclosed-label.mmd","error","2","3985408","","ERROR: unexpected token at byte 48"
"rusty-fixed","unclosed-quote.mmd","error","2","2686976","","ERROR: unexpected token at byte 48"
"rusty-fixed","unfinished-edge.mmd","error","2","2686976","","ERROR: unexpected token at byte 29"
