"renderer","fixture","status","exit_code","sampled_peak_bytes","output","error"
"rusty-fixed","chain-200.mmd","ok","0","28598272","render_ms=9.247 font_ms=0.934 raster_ms=16.654 pipeline_ms=26.947 svg_bytes=116548 width=106 height=16633",""
"rusty-fixed","chain-2000.mmd","error","2","4673536","","ERROR: diagram exceeds viewer limits (512 nodes, 1024 edges, 32 subgraphs) at byte 0: ""flowchart TD
    N0 --> N1
    N1 --> N2"""
"rusty-fixed","class.mmd","ok","0","9056256","render_ms=0.286 font_ms=0.691 raster_ms=1.011 pipeline_ms=2.111 svg_bytes=2191 width=184 height=213",""
"rusty-fixed","er.mmd","ok","0","2686976","render_ms=0.283 font_ms=0.635 raster_ms=1.008 pipeline_ms=2.051 svg_bytes=2735 width=160 height=225",""
"rusty-fixed","flowchart.mmd","ok","0","2686976","render_ms=0.342 font_ms=0.708 raster_ms=1.021 pipeline_ms=2.195 svg_bytes=2835 width=492 height=156",""
"rusty-fixed","gantt.mmd","ok","0","9293824","render_ms=0.145 font_ms=0.618 raster_ms=1.479 pipeline_ms=2.359 svg_bytes=4206 width=840 height=226",""
"rusty-fixed","gitgraph.mmd","ok","0","8740864","render_ms=0.114 font_ms=0.633 raster_ms=0.677 pipeline_ms=1.538 svg_bytes=1472 width=357 height=200",""
"rusty-fixed","invalid-trailing.mmd","error","2","2686976","","ERROR: unexpected token at byte 64: ""???"""
"rusty-fixed","invalid.mmd","error","2","2686976","","ERROR: unexpected token at byte 0: ""notADiagram
    {{{ unexpected input"""
"rusty-fixed","labels.mmd","ok","0","9252864","render_ms=0.275 font_ms=0.628 raster_ms=1.200 pipeline_ms=2.216 svg_bytes=1441 width=756 height=90",""
"rusty-fixed","malformed-flowchart.mmd","error","2","4104192","","ERROR: unexpected token at byte 41"
"rusty-fixed","mindmap.mmd","ok","0","5115904","render_ms=0.195 font_ms=0.625 raster_ms=1.525 pipeline_ms=2.462 svg_bytes=3573 width=472 height=542",""
"rusty-fixed","oversize.mmd","error","2","3907584","","ERROR: Diagram exceeds prototype's 64 KiB input limit"
"rusty-fixed","pie.mmd","ok","0","10407936","render_ms=0.105 font_ms=0.587 raster_ms=1.112 pipeline_ms=1.915 svg_bytes=1805 width=620 height=420",""
"rusty-fixed","sequence-realistic.mmd","ok","0","2785280","render_ms=0.195 font_ms=0.588 raster_ms=3.255 pipeline_ms=4.153 svg_bytes=7166 width=775 height=574",""
"rusty-fixed","sequence.mmd","ok","0","9117696","render_ms=0.125 font_ms=0.595 raster_ms=1.172 pipeline_ms=2.005 svg_bytes=2873 width=353 height=254",""
"rusty-fixed","state.mmd","ok","0","9060352","render_ms=0.349 font_ms=0.727 raster_ms=0.999 pipeline_ms=2.240 svg_bytes=2589 width=154 height=238",""
"rusty-fixed","styled.mmd","ok","0","2686976","render_ms=0.280 font_ms=0.600 raster_ms=0.655 pipeline_ms=1.649 svg_bytes=1292 width=300 height=73",""
"rusty-fixed","unicode.mmd","ok","0","27152384","render_ms=0.512 font_ms=8.605 raster_ms=1.389 pipeline_ms=10.703 svg_bytes=2518 width=794 height=73",""
"rusty-fixed","workflow.mmd","ok","0","20373504","render_ms=1.220 font_ms=0.672 raster_ms=5.842 pipeline_ms=7.847 svg_bytes=10359 width=956 height=1335",""
