"renderer","fixture","status","exit_code","sampled_peak_bytes","output","error"
"rusty-text","chain-100.mmd","ok","0","18505728","render_ms=3.522 font_ms=0.833 raster_ms=8.018 pipeline_ms=12.475 svg_bytes=58171 width=106 height=8353",""
"rusty-text","chain-25.mmd","ok","0","2682880","render_ms=0.933 font_ms=0.624 raster_ms=2.039 pipeline_ms=3.686 svg_bytes=14938 width=98 height=2143",""
"rusty-text","chain-250.mmd","ok","0","32120832","render_ms=12.492 font_ms=0.767 raster_ms=20.010 pipeline_ms=33.356 svg_bytes=145848 width=106 height=20773",""
"rusty-text","chain-50.mmd","ok","0","7385088","render_ms=2.302 font_ms=0.868 raster_ms=4.988 pipeline_ms=8.318 svg_bytes=29288 width=98 height=4213",""
"rusty-text","chain-500.mmd","ok","0","56725504","render_ms=36.786 font_ms=1.046 raster_ms=42.653 pipeline_ms=80.594 svg_bytes=292348 width=106 height=41473",""
"rusty-text","cycle.mmd","ok","0","2682880","render_ms=0.322 font_ms=0.598 raster_ms=0.841 pipeline_ms=1.855 svg_bytes=2134 width=162 height=238",""
"rusty-text","fan-100.mmd","ok","0","28340224","render_ms=2.892 font_ms=0.716 raster_ms=26.652 pipeline_ms=30.360 svg_bytes=59375 width=223 height=8270",""
"rusty-text","fan-25.mmd","ok","0","3063808","render_ms=0.836 font_ms=0.637 raster_ms=3.773 pipeline_ms=5.343 svg_bytes=15201 width=214 height=2060",""
"rusty-text","fan-250.mmd","ok","0","57204736","render_ms=6.612 font_ms=0.810 raster_ms=133.704 pipeline_ms=141.221 svg_bytes=148790 width=223 height=20690",""
"rusty-text","fan-50.mmd","ok","0","18415616","render_ms=1.470 font_ms=0.691 raster_ms=9.473 pipeline_ms=11.724 svg_bytes=29877 width=214 height=4130",""
"rusty-text","fan-500.mmd","ok","0","99708928","render_ms=13.950 font_ms=0.931 raster_ms=489.996 pipeline_ms=504.966 svg_bytes=298488 width=223 height=41390",""
"rusty-text","nested.mmd","ok","0","8060928","render_ms=0.652 font_ms=0.736 raster_ms=1.108 pipeline_ms=2.593 svg_bytes=3250 width=216 height=421",""
"rusty-text","readme.mmd","ok","0","9887744","render_ms=0.394 font_ms=0.589 raster_ms=1.293 pipeline_ms=2.384 svg_bytes=4118 width=712 height=165",""
"rusty-text","sequence.mmd","ok","0","2682880","render_ms=0.149 font_ms=0.556 raster_ms=1.379 pipeline_ms=2.176 svg_bytes=4002 width=431 height=330",""
"rusty-text","unclosed-label.mmd","ok","0","8384512","render_ms=0.194 font_ms=0.559 raster_ms=0.361 pipeline_ms=1.199 svg_bytes=487 width=81 height=73",""
"rusty-text","unclosed-quote.mmd","ok","0","2682880","render_ms=0.197 font_ms=0.633 raster_ms=0.381 pipeline_ms=1.297 svg_bytes=487 width=81 height=73",""
"rusty-text","unfinished-edge.mmd","error","2","2682880","","ERROR: unexpected token at byte 29"
