"renderer","fixture","status","exit_code","sampled_peak_bytes","output","error"
"mmdr-text","chain-200.mmd","ok","0","29728768","render_ms=136.128 font_ms=1.021 raster_ms=20.087 pipeline_ms=157.328 svg_bytes=170521 width=119 height=15075",""
"mmdr-text","chain-2000.mmd","error","2","43950080","","ERROR: Diagram exceeds prototype's 16 megapixel limit"
"mmdr-text","class.mmd","ok","0","11661312","render_ms=13.161 font_ms=0.572 raster_ms=1.065 pipeline_ms=14.888 svg_bytes=3416 width=181 height=278",""
"mmdr-text","er.mmd","ok","0","4960256","render_ms=13.891 font_ms=0.536 raster_ms=1.398 pipeline_ms=15.921 svg_bytes=4378 width=201 height=255",""
"mmdr-text","flowchart.mmd","ok","0","12513280","render_ms=25.065 font_ms=0.581 raster_ms=1.172 pipeline_ms=26.912 svg_bytes=4461 width=474 height=147",""
"mmdr-text","invalid-trailing.mmd","ok","0","12251136","render_ms=14.644 font_ms=0.590 raster_ms=0.885 pipeline_ms=16.206 svg_bytes=2529 width=396 height=79",""
"mmdr-text","invalid.mmd","error","2","4820992","","ERROR: unexpected token 'notADiagram' at 1:1; expected unknown or missing Mermaid diagram header"
"mmdr-text","labels.mmd","ok","0","6021120","render_ms=14.328 font_ms=0.615 raster_ms=1.248 pipeline_ms=16.279 svg_bytes=2154 width=488 height=117",""
"mmdr-text","malformed-flowchart.mmd","error","2","2686976","","ERROR: unexpected token '-->' at 3:5; expected node identifier"
"mmdr-text","oversize.mmd","error","2","2686976","","ERROR: Diagram exceeds prototype's 64 KiB input limit"
"mmdr-text","pie.mmd","ok","0","11997184","render_ms=12.891 font_ms=0.596 raster_ms=2.020 pipeline_ms=15.601 svg_bytes=2710 width=456 height=360",""
"mmdr-text","sequence-realistic.mmd","ok","0","7122944","render_ms=13.178 font_ms=0.550 raster_ms=4.092 pipeline_ms=17.910 svg_bytes=10986 width=659 height=653",""
"mmdr-text","sequence.mmd","ok","0","4915200","render_ms=13.666 font_ms=0.541 raster_ms=1.376 pipeline_ms=15.677 svg_bytes=4700 width=450 height=265",""
"mmdr-text","state.mmd","ok","0","11419648","render_ms=13.376 font_ms=0.583 raster_ms=1.119 pipeline_ms=15.174 svg_bytes=3861 width=145 height=183",""
"mmdr-text","unicode.mmd","ok","0","5898240","render_ms=14.969 font_ms=8.030 raster_ms=1.320 pipeline_ms=24.416 svg_bytes=3731 width=885 height=75",""
"mmdr-text","workflow.mmd","ok","0","24203264","render_ms=236.428 font_ms=0.818 raster_ms=4.313 pipeline_ms=241.653 svg_bytes=15479 width=958 height=1365",""
