"run","renderer","fixture","status","exit_code","sampled_peak_bytes","output","error"
"1","mmdr-text","chain-200.mmd","ok","0","29569024","render_ms=138.415 font_ms=1.020 raster_ms=20.457 pipeline_ms=160.023 svg_bytes=170521 width=119 height=15075",""
"1","mmdr-text","class.mmd","ok","0","4935680","render_ms=12.992 font_ms=0.570 raster_ms=1.112 pipeline_ms=14.789 svg_bytes=3416 width=181 height=278",""
"1","mmdr-text","er.mmd","ok","0","11739136","render_ms=14.082 font_ms=0.634 raster_ms=1.305 pipeline_ms=16.131 svg_bytes=4378 width=201 height=255",""
"1","mmdr-text","flowchart.mmd","ok","0","8167424","render_ms=25.429 font_ms=0.629 raster_ms=1.187 pipeline_ms=27.365 svg_bytes=4461 width=474 height=147",""
"1","mmdr-text","invalid-trailing.mmd","ok","0","7831552","render_ms=14.695 font_ms=0.583 raster_ms=0.783 pipeline_ms=16.174 svg_bytes=2529 width=396 height=79",""
"1","mmdr-text","invalid.mmd","error","2","2686976","","ERROR: unexpected token 'notADiagram' at 1:1; expected unknown or missing Mermaid diagram header"
"1","mmdr-text","labels.mmd","ok","0","5996544","render_ms=14.505 font_ms=0.555 raster_ms=1.268 pipeline_ms=16.438 svg_bytes=2154 width=488 height=117",""
"1","mmdr-text","malformed-flowchart.mmd","error","2","4050944","","ERROR: unexpected token '-->' at 3:5; expected node identifier"
"1","mmdr-text","oversize.mmd","error","2","3907584","","ERROR: Diagram exceeds prototype's 64 KiB input limit"
"1","mmdr-text","pie.mmd","ok","0","11939840","render_ms=13.613 font_ms=0.549 raster_ms=2.050 pipeline_ms=16.322 svg_bytes=2710 width=456 height=360",""
"1","mmdr-text","sequence-realistic.mmd","ok","0","14802944","render_ms=13.881 font_ms=0.586 raster_ms=3.843 pipeline_ms=18.417 svg_bytes=10986 width=659 height=653",""
"1","mmdr-text","sequence.mmd","ok","0","11952128","render_ms=14.464 font_ms=0.528 raster_ms=1.355 pipeline_ms=16.476 svg_bytes=4700 width=450 height=265",""
"1","mmdr-text","state.mmd","ok","0","11636736","render_ms=13.394 font_ms=0.541 raster_ms=1.059 pipeline_ms=15.110 svg_bytes=3861 width=145 height=183",""
"1","mmdr-text","unicode.mmd","ok","0","54923264","render_ms=15.307 font_ms=8.393 raster_ms=1.413 pipeline_ms=25.219 svg_bytes=3731 width=885 height=75",""
"1","mmdr-text","workflow.mmd","ok","0","23990272","render_ms=238.321 font_ms=0.771 raster_ms=4.140 pipeline_ms=243.349 svg_bytes=15479 width=958 height=1365",""
"2","mmdr-text","chain-200.mmd","ok","0","31748096","render_ms=137.458 font_ms=0.859 raster_ms=19.969 pipeline_ms=158.386 svg_bytes=170521 width=119 height=15075",""
"2","mmdr-text","class.mmd","ok","0","11751424","render_ms=13.285 font_ms=0.559 raster_ms=1.075 pipeline_ms=15.021 svg_bytes=3416 width=181 height=278",""
"2","mmdr-text","er.mmd","ok","0","11743232","render_ms=15.482 font_ms=0.549 raster_ms=1.312 pipeline_ms=17.434 svg_bytes=4378 width=201 height=255",""
"2","mmdr-text","flowchart.mmd","ok","0","8171520","render_ms=26.322 font_ms=0.613 raster_ms=1.150 pipeline_ms=28.173 svg_bytes=4461 width=474 height=147",""
"2","mmdr-text","invalid-trailing.mmd","ok","0","12165120","render_ms=14.729 font_ms=0.558 raster_ms=0.776 pipeline_ms=16.155 svg_bytes=2529 width=396 height=79",""
"2","mmdr-text","invalid.mmd","error","2","4956160","","ERROR: unexpected token 'notADiagram' at 1:1; expected unknown or missing Mermaid diagram header"
"2","mmdr-text","labels.mmd","ok","0","5967872","render_ms=14.693 font_ms=0.574 raster_ms=1.295 pipeline_ms=16.653 svg_bytes=2154 width=488 height=117",""
"2","mmdr-text","malformed-flowchart.mmd","error","2","4046848","","ERROR: unexpected token '-->' at 3:5; expected node identifier"
"2","mmdr-text","oversize.mmd","error","2","3907584","","ERROR: Diagram exceeds prototype's 64 KiB input limit"
"2","mmdr-text","pie.mmd","ok","0","11939840","render_ms=12.892 font_ms=0.625 raster_ms=1.953 pipeline_ms=15.559 svg_bytes=2710 width=456 height=360",""
"2","mmdr-text","sequence-realistic.mmd","ok","0","14798848","render_ms=13.243 font_ms=0.544 raster_ms=3.767 pipeline_ms=17.641 svg_bytes=10986 width=659 height=653",""
"2","mmdr-text","sequence.mmd","ok","0","11952128","render_ms=12.875 font_ms=0.550 raster_ms=1.385 pipeline_ms=14.896 svg_bytes=4700 width=450 height=265",""
"2","mmdr-text","state.mmd","ok","0","2682880","render_ms=13.613 font_ms=0.581 raster_ms=1.132 pipeline_ms=15.422 svg_bytes=3861 width=145 height=183",""
"2","mmdr-text","unicode.mmd","ok","0","55255040","render_ms=15.244 font_ms=8.226 raster_ms=1.347 pipeline_ms=24.918 svg_bytes=3731 width=885 height=75",""
"2","mmdr-text","workflow.mmd","ok","0","23977984","render_ms=238.531 font_ms=0.759 raster_ms=4.153 pipeline_ms=243.542 svg_bytes=15479 width=958 height=1365",""
"3","mmdr-text","chain-200.mmd","ok","0","30846976","render_ms=137.043 font_ms=0.902 raster_ms=20.065 pipeline_ms=158.102 svg_bytes=170521 width=119 height=15075",""
"3","mmdr-text","class.mmd","ok","0","11743232","render_ms=13.866 font_ms=0.566 raster_ms=1.159 pipeline_ms=15.689 svg_bytes=3416 width=181 height=278",""
"3","mmdr-text","er.mmd","ok","0","11739136","render_ms=14.244 font_ms=0.572 raster_ms=1.333 pipeline_ms=16.244 svg_bytes=4378 width=201 height=255",""
"3","mmdr-text","flowchart.mmd","ok","0","8175616","render_ms=25.535 font_ms=0.596 raster_ms=1.144 pipeline_ms=27.359 svg_bytes=4461 width=474 height=147",""
"3","mmdr-text","invalid-trailing.mmd","ok","0","5640192","render_ms=14.616 font_ms=0.582 raster_ms=0.800 pipeline_ms=16.084 svg_bytes=2529 width=396 height=79",""
"3","mmdr-text","invalid.mmd","error","2","4956160","","ERROR: unexpected token 'notADiagram' at 1:1; expected unknown or missing Mermaid diagram header"
"3","mmdr-text","labels.mmd","ok","0","12812288","render_ms=17.220 font_ms=0.582 raster_ms=1.259 pipeline_ms=19.171 svg_bytes=2154 width=488 height=117",""
"3","mmdr-text","malformed-flowchart.mmd","error","2","4173824","","ERROR: unexpected token '-->' at 3:5; expected node identifier"
"3","mmdr-text","oversize.mmd","error","2","2682880","","ERROR: Diagram exceeds prototype's 64 KiB input limit"
"3","mmdr-text","pie.mmd","ok","0","7032832","render_ms=13.470 font_ms=0.533 raster_ms=1.957 pipeline_ms=16.050 svg_bytes=2710 width=456 height=360",""
"3","mmdr-text","sequence-realistic.mmd","ok","0","4833280","render_ms=14.812 font_ms=0.578 raster_ms=3.956 pipeline_ms=19.446 svg_bytes=10986 width=659 height=653",""
"3","mmdr-text","sequence.mmd","ok","0","11952128","render_ms=14.361 font_ms=0.583 raster_ms=1.466 pipeline_ms=16.500 svg_bytes=4700 width=450 height=265",""
"3","mmdr-text","state.mmd","ok","0","4923392","render_ms=14.312 font_ms=0.547 raster_ms=1.063 pipeline_ms=16.014 svg_bytes=3861 width=145 height=183",""
"3","mmdr-text","unicode.mmd","ok","0","55250944","render_ms=15.314 font_ms=8.317 raster_ms=1.381 pipeline_ms=25.101 svg_bytes=3731 width=885 height=75",""
"3","mmdr-text","workflow.mmd","ok","0","23982080","render_ms=239.292 font_ms=0.774 raster_ms=4.141 pipeline_ms=244.300 svg_bytes=15479 width=958 height=1365",""
