"renderer","fixture","status","exit_code","output","error"
"mmdr","class.mmd","ok","0","render_ms=784.043 svg_bytes=3416",""
"mmdr","er.mmd","ok","0","render_ms=14.730 svg_bytes=4378",""
"mmdr","flowchart.mmd","ok","0","render_ms=26.277 svg_bytes=4461",""
"mmdr","invalid.mmd","error","2","","ERROR: unexpected token 'notADiagram' at 1:1; expected unknown or missing Mermaid diagram header"
"mmdr","malformed-flowchart.mmd","error","2","","ERROR: unexpected token '-->' at 3:5; expected node identifier"
"mmdr","pie.mmd","ok","0","render_ms=13.856 svg_bytes=2710",""
"mmdr","sequence.mmd","ok","0","render_ms=14.901 svg_bytes=4700",""
"mmdr","state.mmd","ok","0","render_ms=14.535 svg_bytes=3861",""
"merman","class.mmd","ok","0","render_ms=2.732 svg_bytes=14206",""
"merman","er.mmd","ok","0","render_ms=2.439 svg_bytes=12985",""
"merman","flowchart.mmd","ok","0","render_ms=2.719 svg_bytes=12855",""
"merman","invalid.mmd","error","2","","ERROR: No diagram type detected matching given configuration for text: notADiagram
    {{{ unexpected input"
"merman","malformed-flowchart.mmd","error","2","","ERROR: Diagram parse error (flowchart-v2): User { error: LexError { message: ""Unterminated node label (missing `]`)"" } }"
"merman","pie.mmd","ok","0","render_ms=1.268 svg_bytes=2533",""
"merman","sequence.mmd","ok","0","render_ms=1.572 svg_bytes=20997",""
"merman","state.mmd","ok","0","render_ms=3.747 svg_bytes=77348",""
