variant,fixture,repetition,binary_sha256,fixture_sha256,scroll_median_ms,scroll_p95_ms,final_scroll_offset
fat-3,gfm-math-images-100k.md,11,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,10.7677,39.572700000000005,8358.706
fat-s,gfm-math-images-100k.md,1,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,15.0744,51.913199999999996,8358.706
fat-s,ordinary-5k.md,9,4c6bb79d474e412bd3d1626221f09cfd8dbdb9ff7b5f03e96fce92f47935ca79,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9678,4.3933,4500
fat-3,gfm-math-images-100k.md,8,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.7022,33.5689,8358.706
fat-z,ordinary-5k.md,8,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.1643000000000001,3.8804999999999996,4500
fat-3,ordinary-5k.md,7,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6489999999999999,2.7674000000000003,4500
fat-z,ordinary-5k.md,12,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.5208000000000002,2.0064,4500
baseline,gfm-math-images-100k.md,15,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,10.7285,45.580000000000005,8358.706
fat-z,ordinary-5k.md,6,6578b8208861889d6e68abd4f2713d23ce820956485170d333a9f9f54d733bc0,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.2737,3.1416,4500
fat-3,gfm-math-images-100k.md,2,1a3ee96aa78f5cad3fb3239fdf283d5c794dba0926b6cc2a5cd6048967cfc908,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.737499999999999,22.0071,8358.706
