variant,fixture,repetition,binary_sha256,fixture_sha256,scroll_median_ms,scroll_p95_ms,final_scroll_offset
candidate,gfm-math-images-100k.md,12,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.1013,38.8072,8358.706
candidate,gfm-math-images-100k.md,11,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,15.958300000000001,32.3822,8358.706
baseline,ordinary-5k.md,9,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6505000000000001,3.2546,4500
baseline,gfm-math-images-100k.md,4,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.3234,34.4112,8358.706
candidate,gfm-math-images-100k.md,5,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.1129,32.614,8358.706
baseline,gfm-math-images-100k.md,6,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.8077,27.327299999999997,8358.706
baseline,ordinary-5k.md,4,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9129,1.7998999999999998,4500
candidate,gfm-math-images-100k.md,3,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.041,37.091300000000004,8358.706
candidate,gfm-math-images-100k.md,2,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,13.4674,37.0796,8358.706
candidate,gfm-math-images-100k.md,1,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,18.6816,47.8033,8358.706
baseline,ordinary-5k.md,8,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.2399,2.9627999999999997,4500
baseline,ordinary-5k.md,14,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6974,1.6298000000000001,4500
baseline,ordinary-5k.md,15,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.636,2.4905,4500
candidate,ordinary-5k.md,4,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6032000000000001,1.0292999999999999,4500
baseline,gfm-math-images-100k.md,7,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,14.2339,23.2331,8358.706
candidate,gfm-math-images-100k.md,14,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,10.9789,50.5986,8358.706
baseline,ordinary-5k.md,1,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9284,4.5472,4500
candidate,gfm-math-images-100k.md,9,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,14.3591,52.6237,8358.706
baseline,gfm-math-images-100k.md,8,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,10.6276,32.541000000000004,8358.706
candidate,ordinary-5k.md,1,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9275000000000001,2.327,4500
baseline,ordinary-5k.md,10,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7098,1.0525,4500
baseline,gfm-math-images-100k.md,5,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,10.9911,29.7343,8358.706
baseline,gfm-math-images-100k.md,11,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.7465,41.9363,8358.706
baseline,ordinary-5k.md,6,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7186,1.0908,4500
baseline,ordinary-5k.md,2,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6523,2.3853,4500
candidate,ordinary-5k.md,15,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.856,1.2026000000000001,4500
candidate,gfm-math-images-100k.md,8,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.333,41.854299999999995,8358.706
baseline,ordinary-5k.md,5,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,1.0108000000000001,6.063,4500
baseline,ordinary-5k.md,13,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8779,3.2121,4500
candidate,ordinary-5k.md,2,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.775,1.9017000000000002,4500
baseline,gfm-math-images-100k.md,2,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,13.7689,37.0153,8358.706
candidate,gfm-math-images-100k.md,13,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,14.786999999999999,50.586600000000004,8358.706
baseline,gfm-math-images-100k.md,12,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.3621,35.529199999999996,8358.706
baseline,gfm-math-images-100k.md,15,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,13.8968,41.0578,8358.706
candidate,ordinary-5k.md,11,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8217,2.8859,4500
baseline,gfm-math-images-100k.md,3,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,14.4931,40.919999999999995,8358.706
baseline,gfm-math-images-100k.md,13,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.8548,52.756299999999996,8358.706
baseline,ordinary-5k.md,12,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6653,3.166,4500
candidate,gfm-math-images-100k.md,10,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,14.348700000000001,45.828599999999994,8358.706
candidate,gfm-math-images-100k.md,6,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.3219,44.176899999999996,8358.706
candidate,ordinary-5k.md,5,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7773,3.3704,4500
candidate,ordinary-5k.md,10,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7897,2.6807,4500
candidate,ordinary-5k.md,6,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6332,2.9648,4500
candidate,gfm-math-images-100k.md,7,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.129,29.7376,8358.706
candidate,ordinary-5k.md,9,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7484,1.1249,4500
candidate,ordinary-5k.md,7,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6935,2.5008,4500
candidate,gfm-math-images-100k.md,15,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.3837,36.9356,8358.706
baseline,gfm-math-images-100k.md,14,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.2424,27.2462,8358.706
candidate,ordinary-5k.md,8,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7313000000000001,3.0993,4500
candidate,gfm-math-images-100k.md,4,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.3858,43.835499999999996,8358.706
baseline,gfm-math-images-100k.md,1,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.1555,32.4979,8358.706
candidate,ordinary-5k.md,3,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6501,2.4554,4500
baseline,gfm-math-images-100k.md,9,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,13.6568,38.067,8358.706
baseline,ordinary-5k.md,7,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9018,3.6082,4500
candidate,ordinary-5k.md,12,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6652,2.9805,4500
baseline,ordinary-5k.md,11,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7197,2.1896,4500
baseline,gfm-math-images-100k.md,10,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.24,42.3206,8358.706
candidate,ordinary-5k.md,14,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7004,1.8840000000000001,4500
baseline,ordinary-5k.md,3,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8495,2.0006999999999997,4500
candidate,ordinary-5k.md,13,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.6870999999999999,2.3625,4500
