variant,fixture,repetition,binary_sha256,fixture_sha256,scroll_median_ms,scroll_p95_ms,final_scroll_offset
baseline,gfm-math-images-100k.md,5,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.3039,35.767100000000006,8358.706
candidate,gfm-math-images-100k.md,2,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,14.2024,22.4575,8358.706
candidate,ordinary-5k.md,5,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.794,1.0926,4500
baseline,ordinary-5k.md,2,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7552,1.1638,4500
baseline,gfm-math-images-100k.md,1,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,13.177299999999999,29.9837,8358.706
candidate,ordinary-5k.md,3,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8808,2.2208,4500
candidate,ordinary-5k.md,4,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7152999999999999,1.0492,4500
candidate,gfm-math-images-100k.md,1,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.939499999999999,28.97,8358.706
baseline,gfm-math-images-100k.md,3,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.384,43.087,8358.706
baseline,gfm-math-images-100k.md,4,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,13.067300000000001,33.4816,8358.706
baseline,ordinary-5k.md,3,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8023,3.1684,4500
baseline,ordinary-5k.md,5,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.8704999999999999,1.0338,4500
candidate,gfm-math-images-100k.md,3,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.7183,42.3158,8358.706
baseline,ordinary-5k.md,1,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.9127000000000001,5.1299,4500
candidate,ordinary-5k.md,2,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7107,2.1435999999999997,4500
candidate,ordinary-5k.md,1,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7475999999999999,1.8557000000000001,4500
candidate,gfm-math-images-100k.md,5,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,13.5828,29.4919,8358.706
baseline,gfm-math-images-100k.md,2,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,11.4811,35.138200000000005,8358.706
baseline,ordinary-5k.md,4,a760ce738c6d15c64427956afbdeac202adb87977b6decb0ebc0914484c184b8,0b7ad3f74990c566da95984bd29019d7c5399c2ac2995e08b1dd6c01d315731d,0.7799,2.897,4500
candidate,gfm-math-images-100k.md,4,be43f888c3e18adabe80eb3b2565f0b5a953ca510e17a194369d1c1b24f6e480,771478d23dc1d5ab205db29e23c97f4eb2e28d7a6ecf37cf87298b647bc42594,12.7662,29.5172,8358.706
